,movie_link,movie_id,review_date,critic_publication,critic_icon,critic_top,critic_score,review_content
0,https://www.rottentomatoes.com/m/the_hunger,/m/13123,07/05/2019,Father Son Holy Gore,fresh,,4.5/5,"With style and a proper helping of eroticism and blood, The Hunger gnashes its way by the teeth into that upper echelon, the pantheon of great vampire movies."
1,https://www.rottentomatoes.com/m/the_hunger,/m/13123,19/02/2019,Alexander On Film,fresh,,,"We know that the hunger of the title isn’t just a hunger for blood, it’s a hunger to hold on to life, to love, to all of those moments that make us what we are, in that brief period of our lives that we shine, when we are at our best."
2,https://www.rottentomatoes.com/m/the_hunger,/m/13123,26/09/2016,Butaca Ancha,fresh,,,"A film with legendary cast and photograph. Underestimated at the time, but like any other cult movies, was able to find its audience. [Full review in Spanish]"
3,https://www.rottentomatoes.com/m/the_hunger,/m/13123,24/06/2013,Antagony & Ecstasy,fresh,,8/10,"As good a horror film in the most pure, rarefied sense of ""horror"" that the '80s produced in English."
4,https://www.rottentomatoes.com/m/the_hunger,/m/13123,14/05/2013,Mania.com,fresh,,B,"Vampire movies were always cool, but it took The Hunger to make them modern."
5,https://www.rottentomatoes.com/m/the_hunger,/m/13123,08/03/2011,Common Sense Media,rotten,,2/5,"Bloody lesbian-vampire story is stylish, but no Twilight."
6,https://www.rottentomatoes.com/m/the_hunger,/m/13123,07/04/2009,PopMatters,fresh,,9/10,"The focus of Hunger is emphatically the death of Bobby Sands, specifically, what happens to his body, viewed from a tragic outside and, to an imaginative extent, a determined inside."
7,https://www.rottentomatoes.com/m/the_hunger,/m/13123,18/11/2008,Austin Chronicle,rotten,,,"More style than substance, and perhaps simply an excuse to get Denueve and Susan Sarandon, Miriam's post-Bowie love, in bed together."
8,https://www.rottentomatoes.com/m/the_hunger,/m/13123,18/11/2008,TV Guide,rotten,,2.5/4,"A slick, largely empty visual exercise with vague thematic overtones about a clash between American and European culture."
9,https://www.rottentomatoes.com/m/the_hunger,/m/13123,18/11/2008,Variety,fresh,Top Critic,,"In his feature debut, director Tony Scott, brother of Ridley, exhibits the same penchant for eleborate art direction, minimal, humorless dialog and shooting in smoky rooms."
10,https://www.rottentomatoes.com/m/the_hunger,/m/13123,04/11/2007,ColeSmithey.com,fresh,,4/5,Deneuve and Sarandon are something else.
11,https://www.rottentomatoes.com/m/the_hunger,/m/13123,24/06/2006,Time Out,fresh,Top Critic,,"Visual sensualities will have a feast, but you'll have to read Whitley Strieber's novel if you don't want to emerge with a badly scratched head."
12,https://www.rottentomatoes.com/m/the_hunger,/m/13123,04/11/2005,Boulder Weekly,rotten,,2/5,
13,https://www.rottentomatoes.com/m/the_hunger,/m/13123,21/10/2005,Fantastica Daily,rotten,,2/5,
14,https://www.rottentomatoes.com/m/the_hunger,/m/13123,18/12/2004,EmanuelLevy.Com,fresh,,4/5,
15,https://www.rottentomatoes.com/m/the_hunger,/m/13123,16/12/2004,Reno Gazette-Journal,rotten,,D-,Nearly unwatchable lesbian vampire flick.
16,https://www.rottentomatoes.com/m/the_hunger,/m/13123,23/10/2004,Chicago Sun-Times,rotten,Top Critic,1.5/4,"The Hunger is an agonizingly bad vampire movie, circling around an exquisitely effective sex scene. Sorry, but that's the way it is, and your reporter has to be honest."
17,https://www.rottentomatoes.com/m/the_hunger,/m/13123,12/10/2004,Slant Magazine,rotten,,2/4,"In The Hunger, like in that ludicrous advertisement for Britney Spears's Curious perfume, sexual desire simply provokes postmodern psychotropic episodes."
18,https://www.rottentomatoes.com/m/the_hunger,/m/13123,30/08/2004,New York Times,fresh,Top Critic,3.5/5,"The movie reeks with chic, but never, for one minute, takes itself too seriously, nor does it ever slop over into camp."
19,https://www.rottentomatoes.com/m/the_hunger,/m/13123,20/08/2004,Spirituality and Practice,rotten,,2/5,Style over substance in this vampire drama.
20,https://www.rottentomatoes.com/m/the_hunger,/m/13123,02/07/2004,"F5 (Wichita, KS)",fresh,,3/5,
21,https://www.rottentomatoes.com/m/the_hunger,/m/13123,30/03/2004,Film4,rotten,,,"Director Scott spends more time on the visuals than plot and character development, so don't expect to understand much, but do enjoy the luxurious interior decor and eye-candy sunsets."
22,https://www.rottentomatoes.com/m/the_hunger,/m/13123,21/01/2004,New Times,fresh,,4/5,"One scene, any scene, renders Hot Topic wannabes irrelevant."
